current,-600,-575,-550,-525,-500,-475,-450,-425,-400,-375,-350,-325,-300,-275,-250,-225,-200,-175,-150,-125,-100,-75,-50,-25,0,25,50,75,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600
-0.21,-6.598073718476524,-6.439471123614833,-6.292278425985287,-6.23082677346314,-6.10578968965745,-6.0035818082475165,-5.954347572833132,-5.836296396644257,-5.747895983515213,-5.537591094236684,-5.428881843741435,-5.278277917724803,-5.101236710712448,-5.238743215228472,-5.025079364803469,-4.824388742449934,-4.750141623224059,-4.398186071629884,-4.4161620300921305,-4.24048485412537,-3.821624228485484,-3.8459626195883376,-3.605733390736046,-3.351811252174193,-3.2381432956803216,-3.244319014972921,-3.3691562800869472,-3.5365136656290503,-3.78789677003564,-3.8674715225263454,-4.095767000107523,-4.315972288455312,-4.557769813887704,-4.782353613911983,-5.093431559428421,-5.229308448644009,-5.3707460246730445,-5.455415014366517,-5.5984137014750015,-5.742501241695042,-5.924902753803607,-6.053508442196921,-6.246755673235644,-6.353914929910328,-6.473524631369834,-6.571063620479871,-6.646922563471572,-6.693111541544332,-6.725265539314124
-0.2085,-6.54398758318041,-6.411520588684351,-6.2345017925409,-6.169933937718691,-6.060488777707977,-5.970576916967777,-5.868522493936155,-5.797295703497308,-5.655605870354078,-5.601805150680081,-5.376456808164382,-5.225337518788877,-5.059166212634483,-5.00926076255297,-5.056685203984888,-4.761453173693309,-4.676198218081954,-4.508553931332722,-4.138001094077156,-4.199281819546292,-3.780142065299999,-3.802725247948781,-3.5634556822599657,-3.3094089512713127,-3.1948082013037227,-3.200437452651497,-3.3243526092378226,-3.488725711929496,-3.729371843645402,-3.8120223732465983,-3.984163354353359,-4.37043833124688,-4.403783643899405,-4.682430429855339,-4.777162865217079,-5.200754794706021,-5.317085685428124,-5.384493445273825,-5.54323657428658,-5.690359279240209,-5.897645618149989,-6.0357098288891935,-6.203048796052009,-6.271695188431464,-6.430742663997068,-6.507931917633957,-6.600000156617447,-6.644834010290842,-6.676830781160716
-0.207,-6.493221460033736,-6.331982171106346,-6.182373198451686,-6.08988830232882,-6.0043298502525895,-5.936179990821053,-5.844697022082575,-5.747173770095079,-5.689086065987034,-5.489888576382896,-5.387245353176335,-5.250913924972569,-5.129255048759388,-5.0659249120133145,-4.988517462777517,-4.81920997118202,-4.694427481887969,-4.534792137367633,-4.093780021957793,-4.158094026877676,-3.7386298206458224,-3.759440709608511,-3.521027652110063,-3.266688120862224,-3.151043840447421,-3.156129954611976,-3.2792747430419915,-3.4409686467449694,-3.6715317653388575,-3.756370411546025,-4.059723966001656,-4.335185117852522,-4.256342123909098,-4.649829947717999,-4.800695651870524,-5.131413067762548,-5.307855894050999,-5.471710898582027,-5.536040788454397,-5.659073657448994,-5.832263472787818,-6.000213896712306,-6.128110245581294,-6.225177420612909,-6.358040161248463,-6.448760870063749,-6.545840821567986,-6.589968012761771,-6.623945643496284
-0.2055,-6.439170276848265,-6.289142145645583,-6.155801687980754,-6.037669089531952,-5.940763366944907,-5.887158480825904,-5.773169637430961,-5.66241678608693,-5.58078083435366,-5.387860683821319,-5.282450262526892,-5.20754126157748,-5.118675846203687,-5.045750002179233,-4.857916563376128,-4.75168106543156,-4.592997367788898,-4.352033844541944,-4.241459692297035,-4.116907042689346,-3.6970784296045047,-3.7161025283607017,-3.4784325823278435,-3.223616586193905,-3.10680468768555,-3.111349761030888,-3.233883582245773,-3.3931983599054467,-3.614400080368832,-3.70068882012719,-4.057744445807506,-4.159871376656946,-4.415109326488024,-4.548936868948796,-4.856239795147742,-5.07241359981679,-5.263633171906548,-5.349641831340836,-5.439890676330735,-5.589125171104167,-5.788363506678099,-5.926506012824489,-6.081427757776392,-6.171360784919196,-6.294401580157532,-6.408600087433089,-6.4902744948895945,-6.538859642629495,-6.578574245406465
-0.204,-6.389072454909972,-6.23657643550759,-6.096445091130111,-5.995502152556824,-5.890920198841041,-5.8428521955247055,-5.737709826733039,-5.652969582447612,-5.599209185270462,-5.391541302682577,-5.167412884566952,-5.153597432105392,-4.938706473170994,-5.043632142983928,-4.906538198036031,-4.78371529776856,-4.565233277268511,-4.306287243574139,-4.1269817171844005,-4.075686677957714,-3.6554803722141607,-3.672703095615668,-3.4356518719200486,-3.1801575026813764,-3.062039579284033,-3.066042187180635,-3.188133626917716,-3.3453732689921254,-3.557977695299692,-3.645123833059461,-4.0165380439150224,-4.139265843964004,-4.313596777243603,-4.356340175525886,-4.757465077204064,-5.027624884490447,-5.210772266117368,-5.227869303531646,-5.435211024315615,-5.498464811247833,-5.722384274892386,-5.862436964851131,-6.042729529716704,-6.107244338584708,-6.250110055685812,-6.347425318634601,-6.436193582066397,-6.496235834141091,-6.529344461373428
-0.2025,-6.343388401188087,-6.176529294538867,-6.0563340270245165,-5.928711460627824,-5.857373966657675,-5.790310694741194,-5.706309164573839,-5.605665447706701,-5.4592651675502415,-5.309897707701704,-5.208650998540524,-5.074057632612633,-4.922743083358253,-4.936046526678044,-4.762636875376975,-4.704144642541375,-4.472129364914928,-4.261602493919007,-4.102211312337257,-4.034337731866711,-3.6138256298237534,-3.6292341384036497,-3.392664901471196,-3.1362696867060293,-3.0166864728828027,-3.020144326015065,-3.1419730939183808,-3.297442997070281,-3.5022156185760043,-3.58977072162378,-3.959667722594168,-4.111618140771343,-4.271194350303147,-4.445652029021991,-4.656924397865212,-4.953477359413462,-5.184301387340785,-5.139524570556085,-5.393152442250643,-5.493445284273874,-5.662080715864641,-5.82949596292915,-5.984808017117057,-6.087611064596175,-6.195076777951019,-6.299863636485995,-6.390087924809781,-6.445393666324504,-6.483084244636186
-0.201,-6.29153539993963,-6.134297650193883,-6.006801413680636,-5.898477076226992,-5.817540685029211,-5.754914903774752,-5.640242543656557,-5.5325049290796136,-5.384846861155931,-5.255143089681372,-5.103966270243402,-4.888141114983099,-4.860621323136615,-4.801743243472777,-4.655858979145576,-4.5714037283065085,-4.429745755501554,-4.284355617082772,-3.967929654272995,-3.9925354715786177,-3.572103597374801,-3.585683662153206,-3.3494493131861605,-3.0918918987112067,-2.612352425895326,-2.839595440238408,-3.0953042455823017,-3.249357729925681,-3.44703727033996,-3.5347216252773634,-3.8924948281256695,-4.1021831127023605,-4.244675457937146,-4.317390085406344,-4.750610997655565,-4.85778001016043,-5.126725032153418,-5.137510356846412,-5.28850128129199,-5.425552493917671,-5.580593116223864,-5.7272378630320455,-5.949906985249458,-6.046573479740884,-6.131601464468753,-6.264817139100419,-6.333553750646293,-6.39095061237448,-6.433148327429453
-0.1995,-6.218679703156781,-6.112547347104412,-5.947083955905862,-5.866940755239537,-5.742982302970372,-5.690778957903826,-5.593410087824388,-5.500472098154483,-5.298963572879626,-5.2462341329641005,-5.19545970092426,-4.858363230821458,-5.00797453589787,-4.782108977976662,-4.541993921773693,-4.6254603510144845,-4.442530936903291,-4.19977825887162,-3.930916079690913,-3.949257613755944,-3.530303929391147,-3.542040588951993,-3.3059799043335985,-1.6665757915481014,-0.0027314346842804,-0.0047292302132573,-2.161309495504377,-3.2010374248595443,-3.392340411703185,-3.4800066143299038,-3.820405908145148,-4.219983826764205,-4.340052127195044,-4.316917472945523,-4.555443202414129,-4.843568885476346,-4.952301626738522,-5.142882251538216,-5.225695180286798,-5.353616188845249,-5.565492808079011,-5.687212344824692,-5.883891205756845,-5.977292296852597,-6.069984730114418,-6.196036575844561,-6.272076805486853,-6.343218140344262,-6.380191202590503
-0.198,-6.160113430171702,-6.033629170669923,-5.900898894536589,-5.777344437210296,-5.738097224711136,-5.623450470681747,-5.48955470491381,-5.467152855771782,-5.32113952651309,-5.204863536983575,-5.082773879135318,-4.823305007838756,-4.907986278306912,-4.806538109542512,-4.760900999280527,-4.52011986385387,-4.385754731736081,-4.253232096561153,-3.9823258981902905,-3.8969011071188766,-3.48841382733012,-3.49829147231976,-3.2622275980590545,-0.001317787599793,-0.0002517523837504,-0.0002894100650018,-0.0019488133051882,-3.116637915422098,-3.33799332262198,-3.4256306875865143,-3.803496861398446,-4.042606200546463,-4.357740769421057,-4.415282956547404,-4.653339396220306,-4.82730180825186,-5.098517669989602,-5.0398242348355735,-5.223208159067571,-5.324941773916934,-5.5024629043162046,-5.640660702123087,-5.79904827672334,-5.943612166871099,-6.030295447297944,-6.152511833039266,-6.220453647784224,-6.289169246151569,-6.336399592740735
-0.1965,-6.111427738992348,-5.985215690595491,-5.864366348190123,-5.762057106552596,-5.699641372832825,-5.548831653826939,-5.479203709087671,-5.401011181501406,-5.304570663627901,-5.132812163437542,-5.030371184988632,-4.887673642639269,-4.845547946652047,-4.744223088680384,-4.616690140257391,-4.563466106478012,-4.1790157609452425,-4.028985997643007,-4.063745429144711,-3.7938578204918514,-3.446419642620639,-3.454420297163184,-3.197533033198583,-0.0002027866699971,-7.638420764711862e-05,-8.321823592830275e-05,-0.0002346829693015,-0.0161439121289114,-3.2828822897974392,-3.3715389485934657,-3.742922299447201,-3.9738149684582496,-4.199311942148108,-4.264902347564937,-4.503131296181311,-4.8113729799724805,-4.963229577187151,-5.019405318563336,-5.115390955643692,-5.287136891683176,-5.4082263261619605,-5.599715620814311,-5.737708975985963,-5.890610353322611,-5.988900899065003,-6.101520154602341,-6.167869697231565,-6.232383417831497,-6.280414116193413
