current,-600,-575,-550,-525,-500,-475,-450,-425,-400,-375,-350,-325,-300,-275,-250,-225,-200,-175,-150,-125,-100,-75,-50,-25,0,25,50,75,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600
-0.21,-7.489083456,-7.353377562,-7.198888106,-7.049657156,-6.956890408,-6.832758801,-6.676497768,-6.548022391,-6.383047525,-6.2912257,-6.163632086,-6.002976447,-6.103614969,-5.631867918,-5.488152648,-5.256373144,-5.156802368,-4.946265434,-4.645127482,-4.495639432,-4.437344779,-4.375060758,-4.162921548,-3.97116738,-3.883074331,-3.886908268,-3.978241721,-4.100170942,-4.24627808,-4.331587045,-4.533019009,-4.650194862,-4.770778991,-5.407915694,-5.45601155,-5.660877195,-5.826516416,-6.007894039,-6.324527713,-6.333089604,-6.544279577,-6.639346421,-6.836336974,-7.05643028,-7.132111994,-7.33462095,-7.479584705,-7.687698578,-7.812150006
-0.2085,-7.403088663,-7.316019882,-7.103550057,-7.050249157,-6.929367162,-6.786485421,-6.663152837,-6.526471699,-6.340771582,-6.232249644,-6.098461508,-5.98412358,-5.836983749,-5.586738839,-5.636072607,-5.173403034,-5.042295993,-4.897995196,-4.596822888,-4.44817639,-4.389314528,-4.32589289,-4.114948233,-3.923333468,-3.834779911,-3.838230169,-3.928915151,-4.049907293,-4.19354653,-4.278025853,-4.473153471,-4.584871765,-4.67752631,-5.085147302,-5.253261847,-5.51664632,-5.718122635,-6.051600856,-6.064250063,-6.27815466,-6.501142694,-6.561669678,-6.780956746,-7.011417831,-7.085031424,-7.274299622,-7.420032035,-7.62197197,-7.760506157
-0.207,-7.358065567,-7.212180348,-7.078178452,-6.968890725,-6.859626486,-6.750582164,-6.653704098,-6.457863619,-6.318090707,-6.258086764,-5.952208101,-5.814365922,-5.541494859,-5.57651,-5.538100177,-5.130163225,-5.022336563,-4.84967794,-4.548408552,-4.40074104,-4.341126849,-4.27667413,-4.066633264,-3.875263756,-3.786479279,-3.789407282,-3.879409431,-3.999520401,-4.141238057,-4.224495944,-4.414003854,-4.521454724,-4.59170905,-4.760732664,-5.276991893,-5.561045094,-5.626268435,-5.950220843,-6.18380663,-6.35190125,-6.397632719,-6.5532247,-6.730847175,-6.936158368,-7.010800423,-7.199450275,-7.324115207,-7.531027195,-7.668675431
-0.2055,-7.276634461,-7.142041221,-6.999398763,-6.870666027,-6.802147244,-6.73241297,-6.555806479,-6.443697561,-6.301884507,-6.212892574,-5.96049417,-5.982112638,-5.534368068,-5.613392993,-5.474089812,-5.204025778,-5.075552757,-4.801435359,-4.500232903,-4.353317724,-4.292897711,-4.227536107,-4.018078388,-3.826951155,-3.737491566,-3.739994533,-3.829588052,-3.948447419,-4.088427022,-4.171015279,-4.355659043,-4.458616436,-4.523221728,-4.73983772,-5.1468941,-5.620504536,-5.732350789,-5.79168606,-6.019196411,-6.146480857,-6.263730002,-6.552620502,-6.648185324,-6.801019259,-6.957710192,-7.10903986,-7.271910178,-7.467815117,-7.61063351
-0.204,-7.228396032,-7.087922158,-6.948247107,-6.819589772,-6.736497682,-6.65642244,-6.477728089,-6.356350622,-6.242019704,-5.989865956,-5.937391247,-5.820387725,-5.609631239,-5.439277775,-5.427356041,-5.122136566,-4.973607006,-4.753357269,-4.451855086,-4.305574279,-4.244479545,-4.178029473,-3.969643432,-3.778444601,-3.688247196,-3.690338315,-3.779342502,-3.897585433,-4.035683795,-4.117371664,-4.297296529,-4.397618671,-4.456512386,-4.524053673,-5.251037746,-5.353772566,-5.640313475,-5.836975558,-5.889085878,-6.094200553,-6.223747467,-6.387007574,-6.573400772,-6.73950503,-6.954952276,-7.062990524,-7.233212209,-7.41366868,-7.538436849
-0.2025,-7.169145847,-7.041357147,-6.891634728,-6.812891891,-6.728535015,-6.565792646,-6.457266118,-6.308160139,-6.154490617,-6.052725226,-5.885495116,-5.671649516,-5.377593262,-5.265338308,-5.14711797,-5.019480115,-4.820349151,-4.705215502,-4.403570337,-4.257967871,-4.195924932,-4.128549621,-3.920858911,-3.729312581,-3.638569544,-3.640051041,-3.728865346,-3.846435489,-3.982888087,-4.063761493,-4.239636559,-4.337473874,-4.391526751,-4.952195291,-5.09096182,-5.207756637,-5.616975138,-5.631410832,-6.145655845,-5.953418668,-6.140519498,-6.296113425,-6.543448975,-6.712642764,-6.843650192,-6.99612837,-7.174909124,-7.332488542,-7.499487652
-0.201,-7.112323722,-6.975031069,-6.825472946,-6.717513704,-6.611237675,-6.502467204,-6.433848184,-6.303738489,-6.07803511,-6.04889038,-5.729881935,-5.712927339,-5.377609572,-5.362375504,-5.187765289,-4.874174906,-4.794246707,-4.65714166,-4.355125181,-4.210251721,-4.147316692,-4.078929453,-3.871696877,-3.67995646,-3.588092363,-3.589529449,-3.677743489,-3.794866989,-3.929764421,-4.010194307,-4.181946214,-4.27793733,-4.328065899,-4.979507879,-5.148994755,-5.684255136,-5.241108657,-5.831737127,-5.912961801,-6.084377212,-6.160717722,-6.361104704,-6.450367171,-6.608021075,-6.792872388,-6.944440471,-7.128124298,-7.285359863,-7.392250883
-0.1995,-7.027237102,-6.88559708,-6.783073453,-6.693156248,-6.591081403,-6.444748793,-6.344408584,-6.089902345,-5.964624609,-5.903869594,-5.662338542,-5.615788692,-5.28645562,-5.184550666,-5.07831064,-5.017798614,-4.738007474,-4.608802222,-4.30678382,-4.162287654,-4.098498301,-4.028924247,-3.822298273,-3.630107376,-3.537416539,-3.538239029,-3.626282598,-3.742931501,-3.876652011,-3.956482484,-4.125061046,-4.218940036,-4.265330335,-4.90944462,-4.856099867,-5.38699572,-5.085996376,-5.710402184,-5.754104225,-5.902180177,-6.148472144,-6.25526719,-6.415986735,-6.552585331,-6.701502314,-6.880257225,-7.028564953,-7.242669569,-7.344764008
-0.198,-6.978552082,-6.843807054,-6.711396656,-6.580711678,-6.502920203,-6.326198271,-6.19779854,-6.142665287,-6.007999254,-5.934524904,-5.657114042,-5.495272717,-5.384581492,-5.162691587,-4.986992928,-4.931855512,-4.706426653,-4.560555516,-4.258358411,-4.114156926,-4.049569851,-3.978767026,-3.772650963,-3.579937251,-3.486295231,-3.486474251,-3.574324157,-3.690592051,-3.823382872,-3.902744595,-4.068342652,-4.160895277,-4.203751922,-4.793636744,-4.830747818,-5.290418468,-5.516148413,-5.483402709,-5.794531701,-5.940623895,-6.002773822,-6.258641182,-6.261639215,-6.505300128,-6.693586787,-6.809823261,-6.958147908,-7.128455043,-7.308443798
-0.1965,-6.927253729,-6.796171637,-6.678497368,-6.531780987,-6.4613658,-6.300850384,-6.239593352,-6.121566927,-6.027417433,-5.717050375,-5.780658785,-5.463972366,-5.163589956,-5.018826675,-5.053716587,-4.859528734,-4.680787644,-4.51206404,-4.210126253,-4.066029191,-4.000345644,-3.92879691,-3.72287512,-3.529023951,-3.434302376,-3.434125883,-3.521733826,-3.638213778,-3.769854178,-3.84863421,-4.011543443,-4.10291233,-4.143353221,-4.719362999,-4.903033173,-5.104206883,-5.418990486,-5.5781033,-5.592530354,-5.880595292,-6.128726741,-6.084734817,-6.262356617,-6.412588371,-6.597119375,-6.742051804,-6.88737775,-7.037299835,-7.225587566
-0.195,-6.855339654,-6.745617834,-6.605532057,-6.480357543,-6.410785362,-6.280345852,-6.144370431,-5.987015009,-5.80204161,-5.698678723,-5.571301512,-5.346168354,-5.230399335,-4.794011911,-4.982513153,-4.694503088,-4.602723703,-4.463609245,-4.161549241,-4.017672561,-3.951090165,-3.878333594,-3.672711739,-3.477502521,-3.381649386,-3.380642467,-3.468614214,-3.584756567,-3.716093398,-3.794513687,-3.954876305,-4.045443486,-4.083096418,-4.843470731,-5.000202866,-5.133840637,-5.368711379,-5.41091751,-5.791349346,-5.740061138,-5.87637501,-6.019647995,-6.275826427,-6.364045252,-6.578309461,-6.67126988,-6.830954863,-6.985837258,-7.158332466
